ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2008-01-01,8.062493712,-368.953194518823,55.57991930340622,8.062493712,8.062493712,-163.12925238889775,-163.12925238889775,-163.12925238889775,-163.12925238889775,-163.12925238889775,-163.12925238889775,0.0,0.0,0.0,-155.06675867689776
2009-01-01,70.52083365186103,-344.7075632754691,56.340300364991165,70.52083365186103,70.52083365186103,-202.68923847814477,-202.68923847814477,-202.68923847814477,-202.68923847814477,-202.68923847814477,-202.68923847814477,0.0,0.0,0.0,-132.16840482628373
2011-01-01,195.09621109108278,-190.47055387312253,221.12870860204927,195.09621109108278,195.09621109108278,-176.6990385052619,-176.6990385052619,-176.6990385052619,-176.6990385052619,-176.6990385052619,-176.6990385052619,0.0,0.0,0.0,18.39717258582087
2013-01-01,319.84223975939597,-81.34675646750715,314.17971170199,319.84223975939597,319.84223975939597,-202.68923847806656,-202.68923847806656,-202.68923847806656,-202.68923847806656,-202.68923847806656,-202.68923847806656,0.0,0.0,0.0,117.15300128132941
2014-01-01,382.12992851732804,-14.725601204944523,383.91176336470807,382.12992851732804,382.12992851732804,-189.89103908309414,-189.89103908309414,-189.89103908309414,-189.89103908309414,-189.89103908309414,-189.89103908309414,0.0,0.0,0.0,192.2388894342339
2015-01-01,444.4176172976846,74.35690064961678,467.6753996127198,444.4176172976846,444.4176172976846,-176.69903850532322,-176.69903850532322,-176.69903850532322,-176.69903850532322,-176.69903850532322,-176.69903850532322,0.0,0.0,0.0,267.7185787923614
2016-01-01,506.7053060800079,139.47836411205898,540.234443870058,506.7053060800079,506.7053060800079,-163.12925238889503,-163.12925238889503,-163.12925238889503,-163.12925238889503,-163.12925238889503,-163.12925238889503,0.0,0.0,0.0,343.57605369111286
2017-01-01,569.1636460459093,174.56840141138116,582.0769672270138,569.1636460459093,569.1636460459093,-202.6892384781406,-202.6892384781406,-202.6892384781406,-202.6892384781406,-202.6892384781406,-202.6892384781406,0.0,0.0,0.0,366.4744075677687
2018-01-01,631.4513348257738,249.4628044681451,637.3259145689414,631.4513348257738,631.4513348257738,-189.89103908318492,-189.89103908318492,-189.89103908318492,-189.89103908318492,-189.89103908318492,-189.89103908318492,0.0,0.0,0.0,441.56029574258883
2019-01-01,693.7390235959996,326.69825000665065,728.7076094782989,693.7390235959996,693.7390235959996,-176.69903850525182,-176.69903850525182,-176.69903850525182,-176.69903850525182,-176.69903850525182,-176.69903850525182,0.0,0.0,0.0,517.0399850907478
2020-01-01,756.0267123662254,401.356078283793,801.9639537904881,756.0267123662254,756.0267123662254,-163.12925238888246,-163.12925238888246,-163.12925238888246,-163.12925238888246,-163.12925238888246,-163.12925238888246,0.0,0.0,0.0,592.8974599773429
2021-01-01,818.4850523385614,418.73231451251957,813.8956301379675,818.4850523385614,818.4850523385614,-202.68923847811797,-202.68923847811797,-202.68923847811797,-202.68923847811797,-202.68923847811797,-202.68923847811797,0.0,0.0,0.0,615.7958138604434
2021-12-31,880.6020899066771,528.6342825673054,946.352759229652,880.6020895684923,880.6020901949927,-134.92335095498083,-134.92335095498083,-134.92335095498083,-134.92335095498083,-134.92335095498083,-134.92335095498083,0.0,0.0,0.0,745.6787389516962
2022-12-31,942.889778676903,612.3423573532269,1028.400298931898,942.8897775884982,942.8897796538598,-120.32215861119768,-120.32215861119768,-120.32215861119768,-120.32215861119768,-120.32215861119768,-120.32215861119768,0.0,0.0,0.0,822.5676200657053
2023-12-31,1005.1774674471288,695.4189547607708,1100.5735424610682,1005.1774651604983,1005.1774694748814,-105.412975769143,-105.412975769143,-105.412975769143,-105.412975769143,-105.412975769143,-105.412975769143,0.0,0.0,0.0,899.7644916779858
