adult,backdrop_path,id,name,original_name,overview,poster_path,media_type,original_language,genre_ids,popularity,first_air_date,softcore,vote_average,vote_count,origin_country,title,original_title,release_date,video
False,/yyOMIYaHB1xDSULKvT0djOwP4qc.jpg,246461,Sherlock & Daughter,Sherlock & Daughter,"Sherlock Holmes faces a sinister case risking friends' lives. American Amelia joins, seeking her father after her mother's murder. Despite differences, they solve a conspiracy and her mother's case.",/ifh5NNMzUEqErsHmeKjjGblbOav.jpg,tv,en,"[18, 9648]",15.2172,2025-04-16,False,6.638,58,"['GB', 'US']",,,,
False,/m7eiSGHFzr584zFmetGqkqaU6BN.jpg,124364,FROM,FROM,"Unravel the mystery of a nightmarish town in middle America that traps all those who enter. As the unwilling residents fight to keep a sense of normalcy and search for a way out, they must also survive the threats of the surrounding forest – including the terrifying creatures that come out when the sun goes down.",/pRtJagIxpfODzzb0T0NAvZSzErC.jpg,tv,en,"[9648, 18, 10765]",706.0003,2022-02-20,False,8.494,3796,['US'],,,,
False,/t6O6XWelu27BD0OmIDCCufZZT6d.jpg,1301421,,,"George Hardy is a shepherd who reads detective novels to his beloved sheep every night, assuming they can't possibly understand. But when a mysterious incident disrupts life on the farm, the sheep realize they must become the detectives. As they follow the clues and investigate human suspects, they prove that even sheep can be brilliant crime-solvers.",/iKy5460GdsoknM8ppmGlJbKxAKa.jpg,movie,en,"[35, 80, 9648, 10751]",273.4522,,False,7.762,412,,The Sheep Detectives,The Sheep Detectives,2026-04-30,False
False,/h37hqVLmCW00ImewLAHT1DadOky.jpg,94997,House of the Dragon,House of the Dragon,"The Targaryen dynasty is at the absolute apex of its power, with more than 15 dragons under their yoke. Most empires crumble from such heights. In the case of the Targaryens, their slow fall begins when King Viserys breaks with a century of tradition by naming his daughter Rhaenyra heir to the Iron Throne. But when Viserys later fathers a son, the court is shocked when Rhaenyra retains her status as his heir, and seeds of division sow friction across the realm.",/7V0Ebks0GgpKvQ7QbLAIdX5dos4.jpg,tv,en,"[10765, 18, 10759]",480.817,2022-08-21,False,8.341,6311,['US'],,,,
False,/vk5IwZNS35wh6rNmqB1ns6XuiyI.jpg,1081003,,,"When an unexpected and ruthless adversary strikes too close to home, Kara Zor-El, aka Supergirl, reluctantly joins forces with an unlikely companion on an epic, interstellar journey of vengeance and justice.",/niSvU02l2BONH9ivubV6K1a5QiK.jpg,movie,en,"[28, 12, 878]",321.6545,,False,6.135,181,,Supergirl,Supergirl,2026-06-24,False
False,/5lTZyuBTNOfawsfPT8Q0cIg6qAF.jpg,1339713,,,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,movie,en,"[27, 53]",487.4195,,False,7.9,1005,,Obsession,Obsession,2026-05-13,False
False,/qjTqY5coNiz6sVtPng40IzltsoN.jpg,1084244,,,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.",/pxG26JdyuiDvJbSoucknaFiLeZD.jpg,movie,en,"[16, 10751, 35, 12]",489.721,,False,7.464,335,,Toy Story 5,Toy Story 5,2026-06-17,False
False,/3Ckkdh0VTcFPwpBJ6jMAS3qIkgJ.jpg,1413976,,,"A man takes justice into his own hands, hunting down criminals. His vigilante crusade makes him a social media star but puts him at odds with the local police chief.",/6LmJD3Wohe0g4U62wgi7RyJqfE4.jpg,movie,en,"[53, 28, 80]",103.9019,,False,7.133,90,,Citizen Vigilante,Citizen Vigilante,2026-06-19,False
False,/oUozq2XHWifwAVOoS1qHU0qfXqM.jpg,1083381,,,A strange doorway appears in the basement of a furniture showroom.,/rhGx6E3qRNMgj3i5su2oukNHwIQ.jpg,movie,en,"[27, 9648, 878]",255.827,,False,6.9,751,,Backrooms,Backrooms,2026-05-27,False
False,/g1LJLlmWP74zv9yXKEXm7g9p10O.jpg,296206,Agent Kim Reactivated,김부장,"When an unassuming dad's daughter goes missing, he dusts off his old black-ops skills to track her down — only to attract the wrong kind of attention.",/mxa7YxVln3Rwnd2Va82PoclTznj.jpg,tv,ko,"[10759, 80, 18]",141.6691,2026-06-26,False,8.0,9,['KR'],,,,
