adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,softcore,name,vote_average,vote_count
False,/m7eiSGHFzr584zFmetGqkqaU6BN.jpg,"[9648, 18, 10765]",124364,['US'],en,FROM,"Unravel the mystery of a nightmarish town in middle America that traps all those who enter. As the unwilling residents fight to keep a sense of normalcy and search for a way out, they must also survive the threats of the surrounding forest – including the terrifying creatures that come out when the sun goes down.",706.0003,/pRtJagIxpfODzzb0T0NAvZSzErC.jpg,2022-02-20,False,FROM,8.494,3796
False,/h37hqVLmCW00ImewLAHT1DadOky.jpg,"[10765, 18, 10759]",94997,['US'],en,House of the Dragon,"The Targaryen dynasty is at the absolute apex of its power, with more than 15 dragons under their yoke. Most empires crumble from such heights. In the case of the Targaryens, their slow fall begins when King Viserys breaks with a century of tradition by naming his daughter Rhaenyra heir to the Iron Throne. But when Viserys later fathers a son, the court is shocked when Rhaenyra retains her status as his heir, and seeds of division sow friction across the realm.",480.817,/7V0Ebks0GgpKvQ7QbLAIdX5dos4.jpg,2022-08-21,False,House of the Dragon,8.341,6311
False,/hAuYDYBgLJ1qIPoAOM7yOD56uCp.jpg,"[80, 18]",284631,['IN'],hi,राख,"When two teenagers vanish, a close-knit family is shattered and the city is left on edge. Determined to uncover the truth, a relentless officer leads a nationwide manhunt that pulls him deep into a world of violence and human depravity.",352.5378,/5MbNy94ia4ZLf8OGtSfSjjlxxWN.jpg,2026-06-12,False,Raakh,9.2,5
False,/obtdxPgmfykYwVnvuYXC5f2xKlQ.jpg,"[80, 18, 9648]",2734,['US'],en,Law & Order: Special Victims Unit,"In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories.",274.4824,/iofokHZoUB4Qhik4PflvJl8TT6a.jpg,1999-09-20,False,Law & Order: Special Victims Unit,7.95,4257
False,/52sp0vPhLOWrZ1QoZIWiapronM.jpg,[18],273240,['US'],en,Off Campus,"Hannah Wells tutors hockey captain Garrett Graham to win over her crush. Their deal becomes real connection as they face their pasts. Friends Logan, Dean, Tucker, and Allie navigate college life and love.",305.824,/cbODFqkcmRgrYH8NkG4Q4Hcg8Z1.jpg,2026-05-13,False,Off Campus,9.0,561
False,/5AYXcPhbtPe6i1MPnutPhCV6qNd.jpg,"[16, 35]",276880,['JP'],ja,履いてください、鷹峰さん,"Student council president Takane Takamine is a popular star student. On the other hand, Koushi Shirota doesn't have many friends. That all changes when Koushi accidentally discovers Takane's ability to go back in time and alter past actions just by changing her lingerie. After some pestering, Koushi agrees to help Takane and be her closet, by having spare lingerie on hand.",550.9895,/aN4X9QSECSfh5p8S3HtTiWRKJla.jpg,2025-04-02,False,"Please Put Them On, Takamine-san",7.5,163
False,/oBJ6dZ6A1tY1O94RmWnJkkQVbLz.jpg,"[9648, 18]",286360,['KR'],ko,맨 끝줄 소년,"A literature professor discovers a student's talent and offers him writing lessons — but as he sinks into the story, their sessions spiral into chaos.",273.5284,/paRFCxAJRZOypfgnzYLo6KH5jjO.jpg,2026-06-26,False,Notes from the Last Row,9.2,9
False,/tc7canPSAn2X14hYi6Rl3gZm1o4.jpg,"[80, 18]",549,['US'],en,Law & Order,"In cases ripped from the headlines, police investigate serious and often deadly crimes, weighing the evidence and questioning the suspects until someone is taken into custody. The district attorney's office then builds a case to convict the perpetrator by proving the person guilty beyond a reasonable doubt. Working together, these expert teams navigate all sides of the complex criminal justice system to make New York a safer place.",206.7013,/haJ9eHytVO3H3JooMJG1DiWwDNm.jpg,1990-09-13,False,Law & Order,7.298,693
False,/6iNWfGVCEfASDdlNb05TP5nG0ll.jpg,"[80, 18, 35]",79744,['US'],en,The Rookie,"Starting over isn't easy, especially for small-town guy John Nolan who, after a life-altering incident, is pursuing his dream of being an LAPD officer. As the force's oldest rookie, he's met with skepticism from some higher-ups who see him as just a walking midlife crisis.",235.0033,/70kTz0OmjjZe7zHvIDrq2iKW7PJ.jpg,2018-10-16,False,The Rookie,8.55,3336
False,/k2RvAGp7b9Yh2py7NC6ZFZ9N5gR.jpg,"[35, 18]",290138,['IN'],hi,ग्राम चिकित्सालय,"The young, idealistic and brilliant Dr. Prabhat, takes charge of a neglected Primary Health Centre in a North India Village hoping to bring about much needed changes only to realise it is he who will have do change before anything else.",250.8248,/peRHZYhvuA6MLTJkpf5nIjgsWx5.jpg,2025-05-09,False,Gram Chikitsalay,6.4,11
